text,aggressive,hate,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other
@user hoje tô p crime kk ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user literalmente,0,0,0,0,0,0,0,0,0,0,0,0,0
@user gente de onde surgil esse bolsonaro esse velho todo torto ignorante cade os juizes que nao botou esse cara na cadeia,1,1,1,0,1,0,0,1,0,0,0,0,0
@user @user eu perdi em algumas das minhas trocas de celular que tistreza oh céus (funfact: a gente não se falava mas eu amava ver esse vídeo),0,0,0,0,0,0,0,0,0,0,0,0,0
"a choquei sem dúvidas tá no meu top1 priores coisas que aconteceram na internet brasileira nos últimos anos, o tanto de fake news quase irreversíveis que essa página espalha sem responsabilidade nenhuma é imoral",0,0,0,0,0,0,0,0,0,0,0,0,0
@user oq q o ruivo fez q o bb ficou triste????,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user e pq o guri q jogou de atrox foi mvp,0,0,0,0,0,0,0,0,0,0,0,0,0
atesto e dou fé link,0,0,0,0,0,0,0,0,0,0,0,0,0
11:11 enha,0,0,0,0,0,0,0,0,0,0,0,0,0
@user hipocrisia tbm,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user @user @user bolsonaro 2032 pra prefeitura ou bolsonaro 2034 pra presidente no caso né, pq seu mito vai ficar inelegível até 2030",0,0,0,0,0,0,0,0,0,0,0,0,0
"não desejo nem ao meu pior inimigo passar por esse tipo de situação injusta, farta de ser só eu a pessoa quem não entende…. pq nunca param para pensar que pode ser você quem não me entendem!!!!!!",0,0,0,0,0,0,0,0,0,0,0,0,0
ngm com um sócio ou um ingressinho pra eu ver esse flaxflu dia 01 não? ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user queria tanto da na tu cara véi,0,0,0,0,0,0,0,0,0,0,0,0,0
tem dias que eu sou insuportável e absolutamente nenhum estilo musical me agrada oq eu faço? ?????? que ódio,0,0,0,0,0,0,0,0,0,0,0,0,0
